id,event,price,pricePerSquareFoot,city,state,zipcode,parking,homeType,county
91214-20924779,Listed for sale,1326000,694,La Crescenta,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91214-20816288,Listed for sale,1060000,497,Glendale,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91214-20899610,Listed for sale,649000,717,La Crescenta,CA,91214,1,TOWNHOUSE,Los Angeles County
91214-20899816,Listed for sale,949000,669,La Crescenta,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91214-20898520,Listed for sale,995000,782,La Crescenta,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91214-20898767,Listed for sale,949999,671,La Crescenta,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91214-20814679,Listed for sale,750000,983,Glendale,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91214-20814455,Listed for sale,1299999,703,Glendale,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91214-20813164,Listed for sale,800000,557,Glendale,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91214-20900519,Listed for sale,1599000,632,La Crescenta,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91214-20898795,Listed for sale,850000,680,La Crescenta,CA,91214,0,SINGLE_FAMILY,Los Angeles County
91214-20924568,Listed for sale,1088000,725,La Crescenta,CA,91214,1,SINGLE_FAMILY,Los Angeles County
91354-20193877,Listed for sale,639000,538,Valencia,CA,91354,1,CONDO,Los Angeles County
91354-20194175,Listed for sale,765000,416,Valencia,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-20196929,Listed for sale,479000,555,Santa Clarita,CA,91354,1,TOWNHOUSE,Los Angeles County
91354-72096882,Listed for sale,929000,320,Santa Clarita,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-2122650743,Listed for sale,650000,362,Valencia,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-20193984,Listed for sale,799999,423,Santa Clarita,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-2086366296,Listed for sale,599999,387,Valencia,CA,91354,1,TOWNHOUSE,Los Angeles County
91354-81959062,Listed for sale,650900,434,Santa Clarita,CA,91354,1,CONDO,Los Angeles County
91354-79798742,Listed for sale,774900,363,Valencia,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-114404165,Listed for sale,1025000,348,Valencia,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-2069650951,Listed for sale,575000,399,Valencia,CA,91354,1,TOWNHOUSE,Los Angeles County
91354-20195380,Listed for sale,699800,458,Santa Clarita,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-20195026,Listed for sale,799000,404,Santa Clarita,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-113196543,Listed for sale,1075000,298,Santa Clarita,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-20194996,Listed for sale,635000,481,Santa Clarita,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-65245516,Listed for sale,749000,442,Valencia,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-20193145,Listed for sale,849000,430,Santa Clarita,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-99402472,Listed for sale,675000,323,Valencia,CA,91354,1,TOWNHOUSE,Los Angeles County
91354-65245061,Listed for sale,799888,344,Valencia,CA,91354,1,SINGLE_FAMILY,Los Angeles County
